feature_id,label,vertex_index,x,y,group_id,X_warped,Y_warped
1,shoreline,120,738.0,-621.0,,-13581505.682981113,4433785.1911151
1,shoreline,121,739.0,-620.0,,-13581506.982197512,4433786.541546062
1,shoreline,122,745.0,-620.0,,-13581505.540994016,4433788.121132559
1,shoreline,123,746.0,-619.0,,-13581506.839796273,4433789.471247085
1,shoreline,124,749.0,-619.0,,-13581506.120523863,4433790.2545310175
1,shoreline,125,750.0,-618.0,,-13581507.42148011,4433791.606058962
1,shoreline,126,752.0,-618.0,,-13581506.941942364,4433792.125745108
1,shoreline,127,753.0,-617.0,,-13581508.24588776,4433793.479219998
1,shoreline,128,756.0,-617.0,,-13581507.526745975,4433794.255396071
1,shoreline,129,757.0,-616.0,,-13581508.833143447,4433795.610532925
1,shoreline,130,763.0,-616.0,,-13581507.399300007,4433797.154321749
1,shoreline,131,764.0,-615.0,,-13581508.706595827,4433798.510409168
1,shoreline,132,768.0,-615.0,,-13581507.75480902,4433799.534813861
1,shoreline,133,769.0,-614.0,,-13581509.064484136,4433800.892770917
1,shoreline,134,772.0,-614.0,,-13581508.352626048,4433801.659098798
1,shoreline,135,773.0,-613.0,,-13581509.665380852,4433803.019326888
1,shoreline,136,774.0,-613.0,,-13581509.42831816,4433803.274422698
1,shoreline,137,776.0,-611.0,,-13581512.06661936,4433806.003067894
1,shoreline,138,777.0,-611.0,,-13581511.829024484,4433806.2578210505
1,shoreline,139,778.0,-610.0,,-13581513.154609585,4433807.626242192
1,shoreline,140,778.0,-609.0,,-13581514.723241562,4433808.74297385
1,shoreline,141,779.0,-608.0,,-13581516.058429535,4433810.117115712
1,shoreline,142,779.0,-606.0,,-13581519.223239794,4433812.365447671
1,shoreline,143,780.0,-605.0,,-13581520.573026612,4433813.748111148
1,shoreline,144,780.0,-603.0,,-13581523.77125702,4433816.014154456
1,shoreline,145,779.0,-602.0,,-13581525.623171762,4433816.898116005
1,shoreline,146,779.0,-600.0,,-13581528.858426122,4433819.182358255
1,shoreline,147,778.0,-599.0,,-13581530.732066967,4433820.075935844
1,shoreline,148,778.0,-598.0,,-13581532.365382802,4433821.225667195
1,shoreline,149,775.0,-595.0,,-13581538.056667047,4433823.936040304
1,shoreline,150,774.0,-595.0,,-13581538.309554553,4433823.68381004
1,shoreline,151,773.0,-594.0,,-13581540.224950626,4433824.594229035
1,shoreline,152,772.0,-594.0,,-13581540.479824482,4433824.3421527175
1,shoreline,153,771.0,-593.0,,-13581542.405270085,4433825.256166551
1,shoreline,154,771.0,-592.0,,-13581544.081387473,4433826.425295508
1,shoreline,155,768.0,-589.0,,-13581549.931060286,4433829.197667703
1,shoreline,156,768.0,-588.0,,-13581551.634697873,4433830.379536891
1,shoreline,157,766.0,-586.0,,-13581555.593032008,4433832.251696085
1,shoreline,158,766.0,-585.0,,-13581557.317312092,4433833.443112799
1,shoreline,159,760.0,-579.0,,-13581569.454649894,4433839.164496383
1,shoreline,160,760.0,-578.0,,-13581571.229654642,4433840.3788991645
1,shoreline,161,759.0,-577.0,,-13581573.292678256,4433841.34844533
1,shoreline,162,759.0,-576.0,,-13581575.081531474,4433842.569209309
1,shoreline,163,758.0,-575.0,,-13581577.161686907,4433843.545812626
1,shoreline,164,758.0,-574.0,,-13581578.964469293,4433844.772947677
1,shoreline,165,759.0,-573.0,,-13581580.48592278,4433846.249316167
1,shoreline,166,759.0,-572.0,,-13581582.300022507,4433847.481932763
1,shoreline,167,761.0,-570.0,,-13581585.365924168,4433850.445465706
1,shoreline,168,763.0,-570.0,,-13581584.787438516,4433850.934579871
1,shoreline,169,767.0,-566.0,,-13581590.966278017,4433856.880212655
1,shoreline,170,768.0,-566.0,,-13581590.675597917,4433857.122658625
1,shoreline,171,768.0,-565.0,,-13581592.521850564,4433858.371328957
1,shoreline,172,773.0,-560.0,,-13581600.364791827,4433865.854619232
1,shoreline,173,772.0,-559.0,,-13581602.538489813,4433866.878371032
1,shoreline,174,772.0,-558.0,,-13581604.423407815,4433868.1445129365
1,shoreline,175,771.0,-557.0,,-13581606.614557192,4433869.175294977
1,shoreline,176,771.0,-554.0,,-13581612.330305414,4433872.999751994
1,shoreline,177,772.0,-553.0,,-13581613.942689547,4433874.51593603
1,shoreline,178,771.0,-553.0,,-13581614.248225987,4433874.279977343
1,shoreline,179,770.0,-552.0,,-13581616.480261052,4433875.327561113
1,shoreline,180,768.0,-552.0,,-13581617.098243067,4433874.857115188
1,shoreline,181,767.0,-551.0,,-13581619.344904287,4433875.909856092
1,shoreline,182,766.0,-551.0,,-13581619.657439148,4433875.675360729
1,shoreline,183,765.0,-550.0,,-13581621.916627048,4433876.732675795
1,shoreline,184,764.0,-550.0,,-13581622.232367195,4433876.49887611
1,shoreline,185,763.0,-549.0,,-13581624.504232872,4433877.560812824
1,shoreline,186,762.0,-549.0,,-13581624.823252589,4433877.327710052
1,shoreline,187,761.0,-548.0,,-13581627.107952245,4433878.394318394
1,shoreline,188,760.0,-548.0,,-13581627.430328647,4433878.161913715
1,shoreline,189,759.0,-547.0,,-13581629.728023708,4433879.233246012
1,shoreline,190,757.0,-547.0,,-13581630.380594369,4433878.769840788
1,shoreline,191,754.0,-544.0,,-13581637.35324529,4433882.012708826
1,shoreline,192,754.0,-543.0,,-13581639.361888992,4433883.330868075
1,shoreline,193,751.0,-540.0,,-13581646.457651898,4433886.622084767
1,shoreline,194,751.0,-538.0,,-13581650.544477127,4433889.287546768
1,shoreline,195,750.0,-537.0,,-13581652.948781569,4433890.40029274
