#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2024 01 03 12 26 999 99.0 99.0  1.48 10.53  7.10  66 9999.0 999.0  11.2 999.0 99.0 99.00
2024 01 03 12 56 999 99.0 99.0  1.47  9.88  7.24  68 9999.0 999.0  11.2 999.0 99.0 99.00
2024 01 03 13 26 999 99.0 99.0  1.44 10.53  7.20  52 9999.0 999.0  11.2 999.0 99.0 99.00
2024 01 03 13 56 999 99.0 99.0  1.40  9.88  7.32  66 9999.0 999.0  11.2 999.0 99.0 99.00
2024 01 03 14 26 999 99.0 99.0  1.22 10.53  7.15  65 9999.0 999.0  11.2 999.0 99.0 99.00
2024 01 03 14 56 999 99.0 99.0  1.30 10.53  7.26  75 9999.0 999.0  11.2 999.0 99.0 99.00
2024 01 03 15 26 999 99.0 99.0  1.30  9.88  7.45  61 9999.0 999.0  11.2 999.0 99.0 99.00
2024 01 03 15 56 999 99.0 99.0  1.18  9.88  6.78  79 9999.0 999.0  11.3 999.0 99.0 99.00
2024 01 03 16 26 999 99.0 99.0  1.12 10.53  6.70  82 9999.0 999.0  11.3 999.0 99.0 99.00
2024 01 03 16 56 999 99.0 99.0  1.15 10.53  6.73  72 9999.0 999.0  11.3 999.0 99.0 99.00
2024 01 03 17 26 999 99.0 99.0  1.11  9.88  6.75  68 9999.0 999.0  11.3 999.0 99.0 99.00
2024 01 03 17 56 999 99.0 99.0  1.12  9.88  7.14  64 9999.0 999.0  11.3 999.0 99.0 99.00
2024 01 03 18 26 999 99.0 99.0  1.14 10.53  7.22  68 9999.0 999.0  11.3 999.0 99.0 99.00
2024 01 03 18 56 999 99.0 99.0  1.08 10.53  7.00  73 9999.0 999.0  11.3 999.0 99.0 99.00
2024 01 03 19 26 999 99.0 99.0  1.15  9.88  7.65  79 9999.0 999.0  11.3 999.0 99.0 99.00
2024 01 03 19 56 999 99.0 99.0  1.05  9.88  7.54  69 9999.0 999.0  11.3 999.0 99.0 99.00
2024 01 03 20 26 999 99.0 99.0  1.09  9.88  7.89  75 9999.0 999.0  11.3 999.0 99.0 99.00
2024 01 03 20 56 999 99.0 99.0  1.08  9.88  7.90  69 9999.0 999.0  11.3 999.0 99.0 99.00
2024 01 03 21 26 999 99.0 99.0  1.01  9.88  7.42  76 9999.0 999.0  11.2 999.0 99.0 99.00
2024 01 03 21 56 999 99.0 99.0  0.99 10.53  7.36  76 9999.0 999.0  11.1 999.0 99.0 99.00
2024 01 03 22 26 999 99.0 99.0  1.05  9.88  7.29  75 9999.0 999.0  11.1 999.0 99.0 99.00
2024 01 03 22 56 999 99.0 99.0  1.12  9.88  6.84  72 9999.0 999.0  11.1 999.0 99.0 99.00
2024 01 03 23 26 999 99.0 99.0  0.99  9.09  5.81  76 9999.0 999.0  11.1 999.0 99.0 99.00
2024 01 03 23 56 999 99.0 99.0  0.98 10.53  5.87  71 9999.0 999.0  11.1 999.0 99.0 99.00
2024 01 04 00 26 999 99.0 99.0  1.00 11.11  5.92  72 9999.0 999.0  11.1 999.0 99.0 99.00
2024 01 04 00 56 999 99.0 99.0  1.01  9.88  5.88  72 9999.0 999.0  11.0 999.0 99.0 99.00
2024 01 04 01 26 999 99.0 99.0  1.00  9.88  6.11  68 9999.0 999.0  11.0 999.0 99.0 99.00
2024 01 04 01 56 999 99.0 99.0  0.90 10.53  5.48  69 9999.0 999.0  11.0 999.0 99.0 99.00
2024 01 04 02 26 999 99.0 99.0  0.93  9.88  5.69  64 9999.0 999.0  11.0 999.0 99.0 99.00
2024 01 04 02 56 999 99.0 99.0  0.91 10.53  5.61  65 9999.0 999.0  10.8 999.0 99.0 99.00
2024 01 04 03 26 999 99.0 99.0  0.94  9.88  6.32  62 9999.0 999.0  10.9 999.0 99.0 99.00
2024 01 04 03 56 999 99.0 99.0  0.91  9.88  6.32  78 9999.0 999.0  10.7 999.0 99.0 99.00
2024 01 04 04 26 999 99.0 99.0  0.80  8.33  5.59  69 9999.0 999.0  10.7 999.0 99.0 99.00
2024 01 04 04 56 999 99.0 99.0  0.82 10.53  5.88  65 9999.0 999.0  10.7 999.0 99.0 99.00
2024 01 04 05 26 999 99.0 99.0  0.89  9.09  6.50  66 9999.0 999.0  10.7 999.0 99.0 99.00
2024 01 04 05 56 999 99.0 99.0  0.79  9.09  6.48  66 9999.0 999.0  10.6 999.0 99.0 99.00
2024 01 04 06 26 999 99.0 99.0  0.76  9.09  6.39  68 9999.0 999.0  10.6 999.0 99.0 99.00
2024 01 04 06 56 999 99.0 99.0  0.76  9.09  6.64  72 9999.0 999.0  10.5 999.0 99.0 99.00
2024 01 04 07 26 999 99.0 99.0  0.82 10.53  6.04  66 9999.0 999.0  10.5 999.0 99.0 99.00
2024 01 04 07 56 999 99.0 99.0  0.87  9.88  5.25  72 9999.0 999.0  10.6 999.0 99.0 99.00
2024 01 04 08 26 999 99.0 99.0  0.88  9.88  4.80  72 9999.0 999.0  10.6 999.0 99.0 99.00
2024 01 04 08 56 999 99.0 99.0  0.98  9.88  4.43  71 9999.0 999.0  10.6 999.0 99.0 99.00
2024 01 04 09 26 999 99.0 99.0  0.89  9.88  4.58  76 9999.0 999.0  10.6 999.0 99.0 99.00
2024 01 04 09 56 999 99.0 99.0  0.77  9.88  5.20  80 9999.0 999.0  10.5 999.0 99.0 99.00
2024 01 04 10 26 999 99.0 99.0  0.82 10.53  5.53  68 9999.0 999.0  10.6 999.0 99.0 99.00
2024 01 04 10 56 999 99.0 99.0  0.81 11.11  5.00  78 9999.0 999.0  10.5 999.0 99.0 99.00
2024 01 04 11 26 999 99.0 99.0  0.80  9.88  5.11  59 9999.0 999.0  10.6 999.0 99.0 99.00
2024 01 04 11 56 999 99.0 99.0  0.71 11.11  5.23  66 9999.0 999.0  10.6 999.0 99.0 99.00
2024 01 04 12 26 999 99.0 99.0  0.73 10.53  5.87  71 9999.0 999.0  10.7 999.0 99.0 99.00
2024 01 04 12 56 999 99.0 99.0  0.71  9.88  5.41  75 9999.0 999.0  10.7 999.0 99.0 99.00
2024 01 04 13 26 999 99.0 99.0  0.74  9.88  5.73  66 9999.0 999.0  10.8 999.0 99.0 99.00
2024 01 04 13 56 999 99.0 99.0  0.76 10.53  5.50  62 9999.0 999.0  10.8 999.0 99.0 99.00
2024 01 04 14 26 999 99.0 99.0  0.75  9.88  5.43  61 9999.0 999.0  10.9 999.0 99.0 99.00
2024 01 04 14 56 999 99.0 99.0  0.73 10.53  5.01  57 9999.0 999.0  10.9 999.0 99.0 99.00
2024 01 04 15 26 999 99.0 99.0  0.76 10.53  4.79  51 9999.0 999.0  11.0 999.0 99.0 99.00
2024 01 04 15 56 999 99.0 99.0  0.74  9.88  4.44  69 9999.0 999.0  11.0 999.0 99.0 99.00
2024 01 04 16 26 999 99.0 99.0  0.88 10.53  4.23  73 9999.0 999.0  11.0 999.0 99.0 99.00
2024 01 04 16 56 999 99.0 99.0  0.97 10.53  3.91  64 9999.0 999.0  11.0 999.0 99.0 99.00
2024 01 04 17 26 999 99.0 99.0  1.21 10.53  3.99  58 9999.0 999.0  11.0 999.0 99.0 99.00
2024 01 04 17 56 999 99.0 99.0  1.49  4.35  4.35 346 9999.0 999.0  11.0 999.0 99.0 99.00
2024 01 04 18 26 999 99.0 99.0  1.64  9.88  4.55  71 9999.0 999.0  11.0 999.0 99.0 99.00
2024 01 04 18 56 999 99.0 99.0  1.90  5.26  4.58 345 9999.0 999.0  11.0 999.0 99.0 99.00
2024 01 04 19 26 999 99.0 99.0  2.20  5.56  4.85 348 9999.0 999.0  11.0 999.0 99.0 99.00
2024 01 04 19 56 999 99.0 99.0  2.15  5.88  4.99 346 9999.0 999.0  11.0 999.0 99.0 99.00
2024 01 04 20 26 999 99.0 99.0  2.27  6.25  5.09 343 9999.0 999.0  11.1 999.0 99.0 99.00
2024 01 04 20 56 999 99.0 99.0  2.35  6.25  5.31 345 9999.0 999.0  11.1 999.0 99.0 99.00
2024 01 04 21 26 999 99.0 99.0  2.44  6.25  5.23 350 9999.0 999.0  11.1 999.0 99.0 99.00
2024 01 04 21 56 999 99.0 99.0  2.40  6.67  5.29 352 9999.0 999.0  11.1 999.0 99.0 99.00
2024 01 04 22 26 999 99.0 99.0  2.30  6.25  5.20 352 9999.0 999.0  11.2 999.0 99.0 99.00
2024 01 04 22 56 999 99.0 99.0  2.41  6.67  5.21   0 9999.0 999.0  11.2 999.0 99.0 99.00
2024 01 04 23 26 999 99.0 99.0  2.34  5.88  5.24 349 9999.0 999.0  11.2 999.0 99.0 99.00
2024 01 04 23 56 999 99.0 99.0  2.27  6.25  5.14 353 9999.0 999.0  11.2 999.0 99.0 99.00
2024 01 05 00 26 999 99.0 99.0  2.30  6.25  5.18 355 9999.0 999.0  11.2 999.0 99.0 99.00
2024 01 05 00 56 999 99.0 99.0  2.39  6.67  5.34 355 9999.0 999.0  11.2 999.0 99.0 99.00
2024 01 05 01 26 999 99.0 99.0  2.43  6.25  5.28 357 9999.0 999.0  11.2 999.0 99.0 99.00
2024 01 05 01 56 999 99.0 99.0  2.38  6.67  5.31   2 9999.0 999.0  11.2 999.0 99.0 99.00
2024 01 05 02 26 999 99.0 99.0  2.29  6.67  5.31   9 9999.0 999.0  11.2 999.0 99.0 99.00
2024 01 05 02 56 999 99.0 99.0  2.28  6.67  5.33   6 9999.0 999.0  11.2 999.0 99.0 99.00
2024 01 05 03 26 999 99.0 99.0  2.17  6.25  5.21 357 9999.0 999.0  11.1 999.0 99.0 99.00
2024 01 05 03 56 999 99.0 99.0  2.15  6.25  5.26 356 9999.0 999.0  11.1 999.0 99.0 99.00
2024 01 05 04 26 999 99.0 99.0  2.14  6.67  5.34  10 9999.0 999.0  11.1 999.0 99.0 99.00
2024 01 05 04 56 999 99.0 99.0  2.14  6.25  5.37   3 9999.0 999.0  11.1 999.0 99.0 99.00
2024 01 05 05 26 999 99.0 99.0  2.08  6.67  5.24  12 9999.0 999.0  11.1 999.0 99.0 99.00
2024 01 05 05 56 999 99.0 99.0  2.02  7.14  5.33  21 9999.0 999.0  11.1 999.0 99.0 99.00
2024 01 05 06 26 999 99.0 99.0  1.89  6.67  5.28  21 9999.0 999.0  11.0 999.0 99.0 99.00
2024 01 05 06 56 999 99.0 99.0  2.08  7.14  5.60  24 9999.0 999.0  11.0 999.0 99.0 99.00
2024 01 05 07 26 999 99.0 99.0  1.89  6.25  5.18  16 9999.0 999.0  11.0 999.0 99.0 99.00
2024 01 05 07 56 999 99.0 99.0  1.94  7.14  5.33  26 9999.0 999.0  11.0 999.0 99.0 99.00
2024 01 05 08 26 999 99.0 99.0  1.81  7.14  5.28  24 9999.0 999.0  11.0 999.0 99.0 99.00
2024 01 05 08 56 999 99.0 99.0  1.81  7.14  5.18  23 9999.0 999.0  11.0 999.0 99.0 99.00
2024 01 05 09 26 999 99.0 99.0  1.78  7.14  5.23  30 9999.0 999.0  11.0 999.0 99.0 99.00
2024 01 05 09 56 999 99.0 99.0  1.84  7.14  5.08  24 9999.0 999.0  11.0 999.0 99.0 99.00
2024 01 05 10 26 999 99.0 99.0  1.70  6.67  5.01  26 9999.0 999.0  11.0 999.0 99.0 99.00
2024 01 05 10 56 999 99.0 99.0  1.80  7.14  5.21  20 9999.0 999.0  11.0 999.0 99.0 99.00
2024 01 05 11 26 999 99.0 99.0  1.78  7.14  5.09  23 9999.0 999.0  11.0 999.0 99.0 99.00
2024 01 05 11 56 999 99.0 99.0  1.80  7.14  5.20  24 9999.0 999.0  11.0 999.0 99.0 99.00
2024 01 05 12 26 999 99.0 99.0  1.68  5.56  5.12  17 9999.0 999.0  10.9 999.0 99.0 99.00
2024 01 05 12 56 999 99.0 99.0  1.71  7.14  5.22  21 9999.0 999.0  10.9 999.0 99.0 99.00
2024 01 05 13 26 999 99.0 99.0  1.68  7.14  5.31  31 9999.0 999.0  10.9 999.0 99.0 99.00
2024 01 05 13 56 999 99.0 99.0  1.63  7.14  5.33  34 9999.0 999.0  10.9 999.0 99.0 99.00
2024 01 05 14 26 999 99.0 99.0  1.72  6.25  5.37  23 9999.0 999.0  10.9 999.0 99.0 99.00
2024 01 05 14 56 999 99.0 99.0  1.57  7.14  5.45  31 9999.0 999.0  11.0 999.0 99.0 99.00
2024 01 05 15 26 999 99.0 99.0  1.68  7.69  5.55  34 9999.0 999.0  11.0 999.0 99.0 99.00
