X_warped,Y_warped,Z_m
188991.0,76030.0,5.1016494031682456
188993.0,76030.0,5.110561013416097
188995.0,76030.0,5.1126537140424695
188997.0,76030.0,5.112975719985733
188999.0,76030.0,5.1129999436658595
189001.0,76030.0,5.1129999999999995
189003.0,76030.0,5.1129999999999995
189005.0,76030.0,5.1129999999999995
189007.0,76030.0,5.1129999999999995
189009.0,76030.0,5.1129999999999995
189011.0,76030.0,5.1129999999999995
189013.0,76030.0,5.1129999999999995
189015.0,76030.0,5.1129999999999995
189017.0,76030.0,5.1129999999999995
189019.0,76030.0,5.1129999999999995
189021.0,76030.0,5.1129999999999995
189023.0,76030.0,5.1129999999999995
189025.0,76030.0,5.1129999999999995
189027.0,76030.0,5.1129999999999995
189029.0,76030.0,5.1129999999999995
189031.0,76030.0,5.1129999999999995
189033.0,76030.0,5.1129999999999995
189035.0,76030.0,5.1129999999999995
189037.0,76030.0,5.1129999999999995
189039.0,76030.0,5.1129999999999995
189041.0,76030.0,5.1129999999999995
189043.0,76030.0,5.1129999999999995
189045.0,76030.0,5.1129999999999995
189047.0,76030.0,5.1129999999999995
189049.0,76030.0,5.1129999999999995
189051.0,76030.0,5.1129999999999995
189053.0,76030.0,5.1129999999999995
189055.0,76030.0,5.1129999999999995
189057.0,76030.0,5.1129999999999995
189059.0,76030.0,5.1129999999999995
189061.0,76030.0,5.1129999999999995
189063.0,76030.0,5.1129999999999995
189065.0,76030.0,5.1129999999999995
189067.0,76030.0,5.1129999999999995
189069.0,76030.0,5.1129999999999995
189071.0,76030.0,5.1129999999999995
189073.0,76030.0,5.1129999999999995
189075.0,76030.0,5.1129999999999995
189077.0,76030.0,5.1129999999999995
189079.0,76030.0,5.1129999999999995
189081.0,76030.0,5.1129999999999995
189083.0,76030.0,5.1129999999999995
189085.0,76030.0,5.1129999999999995
189087.0,76030.0,5.1129999999999995
189089.0,76030.0,5.1129999999999995
189091.0,76030.0,5.1129999999999995
189093.0,76030.0,5.1129999999999995
189095.0,76030.0,5.1129999999999995
189097.0,76030.0,5.1129999999999995
189099.0,76030.0,5.1129999999999995
189101.0,76030.0,5.1129999999999995
189103.0,76030.0,5.1129999999999995
189105.0,76030.0,5.1129999999999995
189107.0,76030.0,5.1129999999999995
189109.0,76030.0,5.1129999999999995
189111.0,76030.0,5.1129999999999995
189113.0,76030.0,5.1129999999999995
189115.0,76030.0,5.1129999999999995
189117.0,76030.0,5.1129999999999995
189119.0,76030.0,5.1129999999999995
189121.0,76030.0,5.1129999999999995
189123.0,76030.0,5.1129999999999995
189125.0,76030.0,5.1129999999999995
188925.0,76032.0,2.6879999999999993
188927.0,76032.0,2.6879999999999993
188929.0,76032.0,2.6879999999999993
188931.0,76032.0,2.6879999999999993
188933.0,76032.0,2.6879999999999993
188935.0,76032.0,2.6879999999999993
188937.0,76032.0,2.6879999999999993
188939.0,76032.0,2.6879999999999993
188941.0,76032.0,2.6879999999999993
188943.0,76032.0,2.6879999999999993
188945.0,76032.0,2.6879999999999993
188947.0,76032.0,2.6879999999999993
188949.0,76032.0,2.6879999999999993
188951.0,76032.0,2.6879999999999993
188953.0,76032.0,2.6879999999999993
188955.0,76032.0,2.6879999999999993
188957.0,76032.0,2.6879999999999993
188959.0,76032.0,2.6879999999999993
188961.0,76032.0,2.688008844459952
188963.0,76032.0,2.6882243788789384
188965.0,76032.0,2.689864772696623
188967.0,76032.0,2.6974292083246008
188969.0,76032.0,2.7223067588121275
188971.0,76032.0,2.785482792591797
188973.0,76032.0,2.9147566866475136
188975.0,76032.0,3.133598820988014
188977.0,76032.0,3.4450743924955396
188979.0,76032.0,3.8215138743784913
188981.0,76032.0,4.209768822415068
188983.0,76032.0,4.551879856842057
188985.0,76032.0,4.808694863146487
188987.0,76032.0,4.971792788770137
188989.0,76032.0,5.058349180603094
188991.0,76032.0,5.095985118076705
188993.0,76032.0,5.108974587704369
188995.0,76032.0,5.112347988665618
188997.0,76032.0,5.112943722194311
188999.0,76032.0,5.112999492992741
189001.0,76032.0,5.1129999999999995
189003.0,76032.0,5.1129999999999995
189005.0,76032.0,5.1129999999999995
189007.0,76032.0,5.1129999999999995
189009.0,76032.0,5.1129999999999995
